,first_word,first_POS,first_animacy,first_gender,first_number,first_case,second_word,second_POS,second_person,second_case,second_number,dist,label
46,полипропилена,NOUN,inan,masc,sing,gent,него,NPRO,3per,gent,sing,3,1
47,трубах,NOUN,inan,femn,plur,loct,их,NPRO,3per,accs,plur,5,1
48,система,NOUN,inan,femn,sing,nomn,ее,NPRO,3per,accs,sing,23,1
49,грунт,NOUN,inan,masc,sing,accs,его,NPRO,3per,accs,sing,12,1
50,городского шума,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,2,1
51,городского шума,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,5,1
52,шума,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,2,1
53,шума,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,2,1
54,шума,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,2,1
55,материалов или конструкций,NOUN,inan,masc,plur,gent,ними,NPRO,3per,ablt,plur,16,1
56,зоны,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,6,1
57,линейных источников шума,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,11,1
58,Здание,NOUN,inan,neut,sing,nomn,его,NPRO,3per,accs,sing,10,1
59,фасадов,NOUN,inan,masc,plur,gent,им,NPRO,3per,datv,plur,3,1
60,отверстий,NOUN,inan,neut,plur,gent,их,NPRO,3per,accs,plur,3,1
61,стенки,NOUN,inan,femn,sing,gent,она,NPRO,3per,nomn,sing,4,1
62,модулей,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,2,1
63,одной задачи,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,7,1
64,малых архитектурных форм и элементов благоустройства,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,13,1
65,шуморассеивающих поверхностей,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,5,1
66,материалов и покрытий,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,16,1
67,композиционных материалов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,10,1
68,области применения,NOUN,inan,femn,sing,loct,Они,NPRO,3per,nomn,plur,9,1
69,графита,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,5,1
70,нейтронов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,8,1
71,материала,NOUN,inan,masc,sing,gent,их,NPRO,3per,accs,plur,5,1
72,фаз,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,5,1
73,образца,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,2,1
74,подтопления,NOUN,inan,neut,sing,gent,его,NPRO,3per,accs,sing,2,1
75,водоупор,NOUN,inan,masc,sing,nomn,него,NPRO,3per,gent,sing,8,1
76,работы,NOUN,inan,femn,sing,gent,Они,NPRO,3per,nomn,plur,16,1
77,Детерминированный подход,NOUN,inan,masc,sing,nomn,он,NPRO,3per,nomn,sing,11,1
78,гидравлическая линеаризованная теория фильтрации,NOUN,inan,femn,sing,nomn,ее,NPRO,3per,accs,sing,5,1
79,технологий и конструктивных решений,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,5,1
80,грунтов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,2,1
81,покрытий,NOUN,inan,neut,plur,gent,их,NPRO,3per,accs,plur,22,1
82,меловых пород,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,2,1
83,материалом,NOUN,inan,masc,sing,ablt,его,NPRO,3per,accs,sing,15,1
84,меловые отложения,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,9,1
85,запасов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,12,1
86,бетонной смеси,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,56,1
87,метод,NOUN,inan,masc,sing,nomn,его,NPRO,3per,accs,sing,10,1
88,материалов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,3,1
89,гиперпрессованию,NOUN,inan,neut,sing,datv,его,NPRO,3per,accs,sing,31,1
90,частиц,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,2,1
91,жидкости,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,5,1
92,коэффициент эффективности смачивания,NOUN,inan,masc,sing,nomn,Он,NPRO,3per,nomn,sing,3,1
93,заполнителя,NOUN,inan,masc,sing,gent,их,NPRO,3per,accs,plur,7,1
94,материалы,NOUN,inan,masc,plur,nomn,их,NPRO,3per,accs,plur,6,1
95,зданий и сооружений,NOUN,inan,neut,plur,gent,они,NPRO,3per,nomn,plur,5,1
96,погодные условия,NOUN,inan,neut,plur,accs,их,NPRO,3per,accs,plur,2,1
97,Осадки,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,9,1
98,осадков,NOUN,inan,,plur,gent,их,NPRO,3per,accs,plur,5,1
99,помещений,NOUN,inan,neut,plur,gent,них,NPRO,3per,gent,plur,6,1
100,вентиляцию и кондиционирование,NOUN,inan,femn,sing,accs,они,NPRO,3per,nomn,plur,4,1
101,Козырьки,NOUN,inan,masc,plur,nomn,Они,NPRO,3per,nomn,plur,13,1
102,Жалюзи,NOUN,inan,neut,sing,nomn,они,NPRO,3per,nomn,plur,8,1
103,ребра,NOUN,inan,neut,plur,nomn,Они,NPRO,3per,nomn,plur,4,1
104,система,NOUN,inan,femn,sing,nomn,она,NPRO,3per,nomn,sing,13,1
105,зданий,NOUN,inan,neut,plur,gent,их,NPRO,3per,accs,plur,2,1
106,качества,NOUN,inan,neut,sing,gent,Они,NPRO,3per,nomn,plur,4,1
107,конструкций,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,3,1
108,элементы,NOUN,inan,masc,plur,nomn,они,NPRO,3per,nomn,plur,1,1
109,белый цвет,NOUN,inan,masc,sing,nomn,он,NPRO,3per,nomn,sing,8,1
110,стекола или стеклоблоки,NOUN,inan,femn,sing,nomn,их,NPRO,3per,accs,plur,6,1
111,Стены,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,32,1
112,Окна,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,13,1
113,покрытия,NOUN,inan,neut,sing,gent,Они,NPRO,3per,nomn,plur,1,1
114,Крыши,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,8,1
115,покрытия,NOUN,inan,neut,sing,gent,они,NPRO,3per,nomn,plur,14,1
116,купола,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,6,1
117,воды,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,10,1
118,ковра,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,3,1
119,воздуха,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,11,1
120,Покрытия,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,12,1
121,конструкций,NOUN,inan,femn,plur,gent,ими,NPRO,3per,ablt,plur,2,1
122,древесины,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,7,1
123,грунт,NOUN,inan,masc,sing,accs,него,NPRO,3per,gent,sing,7,1
124,здания,NOUN,inan,neut,sing,gent,него,NPRO,3per,gent,sing,3,1
125,Плиты,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,5,1
126,здания и сооружения,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,19,1
127,полосы,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,12,1
128,плит,NOUN,inan,femn,plur,gent,них,NPRO,3per,gent,plur,6,1
129,обустройство,NOUN,inan,neut,sing,nomn,оно,NPRO,3per,nomn,sing,6,1
130,дорог,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,12,1
131,владельцев,NOUN,anim,masc,plur,gent,их,NPRO,3per,accs,plur,14,1
132,бульдозер,NOUN,inan,masc,sing,nomn,Он,NPRO,3per,nomn,sing,35,1
133,пней,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,1,1
134,катков,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,10,1
135,полотна,NOUN,inan,neut,sing,gent,его,NPRO,3per,accs,sing,3,1
136,специалисты,NOUN,anim,masc,plur,nomn,Ими,NPRO,3per,ablt,plur,6,1
137,плит,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,7,1
138,конструкции,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,31,1
139,транспорта,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,2,1
140,регионов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,4,1
141,дорог,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,15,1
142,пожара,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,3,1
143,железобетона,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,9,1
144,модели,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,7,1
145,моделей,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,2,1
146,метакаолин,NOUN,inan,masc,sing,nomn,он,NPRO,3per,nomn,sing,14,1
147,каолинита,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,3,1
148,глины,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,11,1
149,среды,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,18,1
150,постройкам,NOUN,inan,femn,plur,datv,ним,NPRO,3per,datv,plur,4,1
151,понятия,NOUN,inan,neut,sing,gent,него,NPRO,3per,gent,sing,5,1
152,усадьбы,NOUN,inan,femn,sing,gent,неё,NPRO,3per,gent,sing,13,1
153,людей,NOUN,anim,masc,plur,gent,им,NPRO,3per,datv,plur,4,1
154,общины,NOUN,inan,femn,sing,gent,Они,NPRO,3per,nomn,plur,1,1
155,усадьба,NOUN,inan,femn,sing,nomn,ей,NPRO,3per,datv,sing,2,1
156,участка,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,6,1
157,ограды,NOUN,inan,femn,sing,gent,нее,NPRO,3per,gent,sing,4,1
158,города,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,3,1
159,Усадьбы,NOUN,inan,femn,sing,gent,они,NPRO,3per,nomn,plur,9,1
160,усадьба,NOUN,inan,femn,sing,nomn,она,NPRO,3per,nomn,sing,5,1
161,зоны,NOUN,inan,femn,sing,gent,Они,NPRO,3per,nomn,plur,7,1
162,зоны,NOUN,inan,femn,sing,gent,ним,NPRO,3per,datv,plur,18,1
163,усадьбы,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,4,1
164,усадьбе,NOUN,inan,femn,sing,loct,ее,NPRO,3per,accs,sing,1,1
165,усадьбы,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,4,1
166,усадьбы,NOUN,inan,femn,sing,gent,она,NPRO,3per,nomn,sing,13,1
167,дом,NOUN,inan,masc,sing,nomn,его,NPRO,3per,accs,sing,2,1
168,продукта,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,2,1
169,усадьба,NOUN,inan,femn,sing,nomn,ней,NPRO,3per,loct,sing,13,1
170,усадьбы,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,6,1
171,человека,NOUN,anim,masc,sing,gent,его,NPRO,3per,accs,sing,4,1
172,горожан,NOUN,anim,masc,plur,gent,их,NPRO,3per,accs,plur,4,1
173,дач,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,14,1
174,участка,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,1,1
175,дом,NOUN,inan,masc,sing,nomn,его,NPRO,3per,accs,sing,4,1
176,сооружение,NOUN,inan,neut,sing,nomn,его,NPRO,3per,accs,sing,7,1
177,участка,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,4,1
178,ландшафта,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,1,1
179,каркас,NOUN,inan,masc,sing,nomn,Он,NPRO,3per,nomn,sing,1,1
180,объектами,NOUN,inan,masc,plur,ablt,их,NPRO,3per,accs,plur,4,1
181,Здание,NOUN,inan,neut,sing,nomn,Оно,NPRO,3per,nomn,sing,6,1
182,деревьев,NOUN,inan,neut,plur,gent,их,NPRO,3per,accs,plur,6,1
183,ландшафта,NOUN,inan,masc,sing,gent,него,NPRO,3per,gent,sing,4,1
184,носитель,NOUN,inan,masc,sing,accs,его,NPRO,3per,accs,sing,14,1
185,бетоносмесителей,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,8,1
186,машин,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,3,1
187,машин,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,7,1
188,смесей,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,2,1
189,компонентов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,2,1
190,осью вращательного движения,NOUN,inan,femn,sing,ablt,ей,NPRO,3per,datv,sing,7,1
191,оси,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,9,1
192,движения,NOUN,inan,neut,sing,gent,они,NPRO,3per,nomn,plur,7,1
193,вибросмесителей,NOUN,inan,masc,plur,gent,они,NPRO,3per,nomn,plur,1,1
194,смесителях,NOUN,inan,masc,plur,loct,них,NPRO,3per,gent,plur,14,1
195,степень,NOUN,inan,femn,sing,accs,она,NPRO,3per,nomn,sing,13,1
196,состава,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,4,1
197,смесей,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,3,1
198,смесителя,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,1,1
199,бетонов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,31,1
200,параметры,NOUN,inan,masc,plur,nomn,они,NPRO,3per,nomn,plur,10,1
201,товар,NOUN,inan,masc,sing,nomn,его,NPRO,3per,accs,sing,5,1
202,бетономешалки,NOUN,inan,femn,sing,gent,они,NPRO,3per,nomn,plur,5,1
203,венец,NOUN,inan,masc,sing,nomn,ним,NPRO,3per,datv,plur,6,1
204,детали,NOUN,inan,femn,plur,accs,они,NPRO,3per,nomn,plur,2,1
205,продукции,NOUN,inan,femn,sing,gent,она,NPRO,3per,nomn,sing,2,1
206,оборудование,NOUN,inan,neut,sing,nomn,его,NPRO,3per,accs,sing,2,1
207,техники,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,5,1
208,модели,NOUN,inan,femn,sing,gent,они,NPRO,3per,nomn,plur,11,1
209,смесителей,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,3,1
210,смесителях,NOUN,inan,masc,plur,loct,их,NPRO,3per,accs,plur,9,1
211,конструкций,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,4,1
212,вибрация,NOUN,inan,femn,sing,nomn,она,NPRO,3per,nomn,sing,4,1
213,рядов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,21,1
214,материалом,NOUN,inan,masc,sing,ablt,его,NPRO,3per,accs,sing,4,1
215,зданиях,NOUN,inan,neut,plur,loct,их,NPRO,3per,accs,plur,6,1
216,сваям переменного сечения,NOUN,inan,femn,plur,datv,они,NPRO,3per,nomn,plur,7,1
217,Пирамидальные сваи,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,12,1
218,односвайные фундаменты,NOUN,inan,masc,plur,nomn,них,NPRO,3per,gent,plur,14,1
219,верхней пирамидальной части,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,13,1
220,лобовой поверхности,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,5,1
221,пирамидальной части,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,3,1
222,головы сваи,NOUN,inan,femn,sing,gent,нее,NPRO,3per,gent,sing,5,1
223,пирамидальной части сваи,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,4,1
224,сваей,NOUN,inan,femn,sing,ablt,ее,NPRO,3per,accs,sing,2,1
225,результатов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,15,1
226,систему,NOUN,inan,femn,sing,accs,ее,NPRO,3per,accs,sing,13,1
227,смол,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,9,1
228,трубы,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,15,1
229,недостатки,NOUN,inan,masc,plur,accs,они,NPRO,3per,nomn,plur,9,1
230,стеклопластиков,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,11,1
231,труб,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,10,1
232,изделия,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,15,1
233,диффузанта,NOUN,anim,masc,sing,gent,его,NPRO,3per,accs,sing,3,1
234,олигомеры,NOUN,inan,masc,plur,nomn,их,NPRO,3per,accs,plur,22,1
235,полиизоцианаты,NOUN,inan,masc,plur,nomn,их,NPRO,3per,accs,plur,23,1
236,матрицей,NOUN,inan,femn,sing,ablt,она,NPRO,3per,nomn,sing,7,1
237,сред,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,6,1
238,образца,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,2,1
239,воздуха,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,15,1
240,слоев,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,10,1
241,полимера,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,4,1
242,цементогрунтов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,3,1
243,цементогрунта,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,4,1
244,цилиндры,NOUN,inan,masc,plur,nomn,их,NPRO,3per,accs,plur,14,1
245,грунтов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,5,1
246,фермы,NOUN,inan,femn,sing,gent,Их,NPRO,3per,accs,plur,1,1
247,Нормам,NOUN,inan,femn,plur,datv,их,NPRO,3per,accs,plur,7,1
248,стержней,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,4,1
249,фермы,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,6,1
250,фермы,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,2,1
251,ферм,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,8,1
252,бетонов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,10,1
253,заполнителя,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,8,1
254,заполнители,NOUN,inan,masc,plur,nomn,их,NPRO,3per,accs,plur,7,1
255,изделий,NOUN,inan,neut,plur,gent,их,NPRO,3per,accs,plur,2,1
256,материала,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,7,1
257,стране,NOUN,inan,femn,sing,loct,ее,NPRO,3per,accs,sing,4,1
258,ресурсов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,4,1
259,материалов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,2,1
260,материалов и изделий,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,6,1
261,валу,NOUN,inan,masc,sing,datv,Он,NPRO,3per,nomn,sing,1,1
262,корпуса,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,3,1
263,шлака,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,4,1
264,шлака,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,2,1
265,шлака,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,9,1
266,поверхности,NOUN,inan,femn,sing,gent,она,NPRO,3per,nomn,sing,7,1
267,материала,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,2,1
268,шлака,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,3,1
269,пиков,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,3,1
270,смесителя-активатора,NOUN,inan,masc,sing,gent,он,NPRO,3per,nomn,sing,21,1
271,смесей,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,6,1
272,установок,NOUN,inan,femn,plur,gent,ним,NPRO,3per,datv,plur,4,1
273,заполнителя,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,4,1
274,городе,NOUN,inan,masc,sing,loct,его,NPRO,3per,accs,sing,2,1
275,постоянство,NOUN,inan,neut,sing,nomn,Оно,NPRO,3per,nomn,sing,5,1
276,Содержательность среды,NOUN,inan,femn,sing,nomn,ее,NPRO,3per,accs,sing,17,1
277,видов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,8,1
278,дорожки,NOUN,inan,femn,plur,nomn,они,NPRO,3per,nomn,plur,9,1
279,территории,NOUN,inan,femn,sing,loct,ее,NPRO,3per,accs,sing,5,1
280,три основных фактора,NOUN,inan,masc,sing,gent,их,NPRO,3per,accs,plur,25,1
281,разработки,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,6,1
282,заказчиком,NOUN,anim,masc,sing,ablt,ему,NPRO,3per,datv,sing,19,1
283,идею,NOUN,inan,femn,sing,accs,она,NPRO,3per,nomn,sing,10,1
284,жилых районов,NOUN,inan,masc,plur,gent,них,NPRO,3per,gent,plur,6,1
285,пространств,NOUN,inan,neut,plur,gent,их,NPRO,3per,accs,plur,5,1
286,этажи,NOUN,inan,masc,plur,nomn,них,NPRO,3per,gent,plur,16,1
287,пространства,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,15,1
288,особенностью,NOUN,inan,femn,sing,ablt,Она,NPRO,3per,nomn,sing,1,1
289,архитектура и дизайн,NOUN,inan,femn,sing,nomn,их,NPRO,3per,accs,plur,6,1
290,"машин, реклам и скамеек",NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,23,1
291,типы,NOUN,inan,masc,plur,nomn,их,NPRO,3per,accs,plur,6,1
292,задач,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,12,1
293,массив грунта,NOUN,inan,masc,sing,nomn,ему,NPRO,3per,datv,sing,4,1
294,песка,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,2,1
295,оболочки,NOUN,inan,femn,sing,gent,ею,NPRO,3per,ablt,sing,10,1
296,фиброгрунта,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,9,1
297,сооружений,NOUN,inan,neut,plur,gent,их,NPRO,3per,accs,plur,2,1
298,сред,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,2,1
299,макрохарактеристик,NOUN,inan,femn,plur,gent,они,NPRO,3per,nomn,plur,8,1
300,тензор,NOUN,inan,masc,sing,nomn,он,NPRO,3per,nomn,sing,6,1
301,перемещений,NOUN,inan,neut,plur,gent,они,NPRO,3per,nomn,plur,6,1
302,графиков,NOUN,inan,masc,plur,gent,них,NPRO,3per,gent,plur,3,1
303,модуль Юнга,NOUN,inan,masc,sing,nomn,он,NPRO,3per,nomn,sing,11,1
304,оценками,NOUN,inan,femn,plur,ablt,них,NPRO,3per,gent,plur,7,1
305,композита,NOUN,inan,masc,sing,gent,него,NPRO,3per,gent,sing,7,1
306,кубов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,3,1
307,трещинообразователей,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,4,1
308,трещины,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,4,1
